Time(s)	CPU	GPU	LGPU
1121s	3.2	100	99
1123s	3.2	100	100
1124s	3.1	99	99
1125s	3.2	100	100
1127s	3.2	100	100
1128s	3.1	100	99
1129s	3.1	100	99
1131s	3.2	100	100
1132s	3.2	100	100
1133s	3.2	99	99
1135s	3.1	99	99
1136s	3.2	100	100
1137s	3.2	100	100
1139s	3.8	100	99
1140s	3.1	100	100
1141s	0.4	0	0
1143s	30.1	0	0
1144s	58.4	0	0
1146s	31.5	99	0
1147s	3.2	99	98
1149s	3.2	100	100
1150s	3.2	100	100
1151s	3.2	100	99
1153s	3.1	99	99
1154s	3.1	100	100
1155s	3.2	100	99
1157s	3.2	100	99
1158s	3.2	100	100
1160s	3.2	100	99
1161s	3.2	100	99
1162s	3.2	100	100
1164s	3.1	100	100
1165s	3.2	100	100
1166s	3.2	100	99
1168s	3.2	100	100
1169s	1.0	0	0
1170s	44.6	0	0
1172s	58.3	0	0
1173s	20.7	66	0
1175s	3.2	100	100
1176s	3.1	100	99
1177s	3.2	99	99
1179s	3.2	100	100
1180s	3.1	100	100
1181s	3.1	100	99
1183s	3.2	100	100
1184s	3.2	100	100
1185s	3.2	100	99
1187s	3.2	100	99
1188s	3.2	100	100
1189s	3.1	100	99
1191s	3.1	100	99
1192s	3.2	100	100
1193s	3.2	100	100
1195s	3.2	100	100
1196s	0.2	0	0
1197s	0.2	0	0
1199s	60.4	0	0
1200s	58.1	5	0
1202s	4.8	100	99
1203s	3.2	100	100
1204s	3.2	100	100
1206s	3.2	100	99
1207s	3.2	100	100
1208s	3.2	100	100
1210s	3.2	100	99
1211s	3.2	100	100
1212s	3.1	100	100
1214s	3.2	100	99
1215s	3.1	100	99
1216s	3.2	100	100
1218s	3.1	99	99
1219s	3.1	100	100
1220s	3.2	100	99
1222s	5.4	100	100
1223s	1.0	31	0
1225s	0.2	0	0
1226s	47.1	0	0
1227s	60.6	0	0
1229s	18.6	67	0
1230s	3.0	100	98
1231s	3.2	100	100
1233s	3.2	100	100
1234s	3.2	100	99
1235s	3.1	99	99
1237s	7.6	100	100
1238s	3.2	100	100
1240s	3.2	100	100
1241s	3.2	100	100
1242s	3.2	100	100
1244s	3.1	100	99
1245s	3.1	99	99
1246s	3.2	100	100
1248s	3.2	99	99
1249s	3.2	100	99
1250s	3.2	100	100
1252s	0.2	0	0
1253s	5.4	0	0
1254s	56.6	0	0
1256s	44.8	11	0
1257s	3.8	100	100
1259s	3.1	100	100
1260s	3.2	100	100
