epoch,iteration,throughput(MBs),iteration_time,time_diff,iter_persec
26,6,25.533553922529297,189.70491433143616,5.091706991195679, 1.1784723817310685,130.0
26,6,23.555972338621483,189.70848107337952,5.094752073287964, 1.1777996091415224,120.0
26,6,21.530684601785637,189.7199330329895,5.109435558319092, 1.1744030060745891,110.0
26,6,23.486960777126495,189.69257926940918,5.109608173370361, 1.1743485320587352,120.0
26,7,24.185167291680823,190.41249632835388,5.789035797119141, 1.2092591614779817,140.0
26,7,23.762850377087922,190.50965642929077,5.891991138458252, 1.1881430958341683,140.0
27,6,21.97555619243141,196.8854079246521,5.005982160568237, 1.1986675007131518,110.0
27,6,21.91427926678219,196.90497183799744,5.020035028457642, 1.1953251752745786,110.0
27,6,23.512219039817268,196.94932198524475,5.104181528091431, 1.17561183068231,120.0
27,6,19.588763851308986,196.9806478023529,5.1052405834198, 1.1753262153194377,100.0
27,6,23.49449932564639,196.98224997520447,5.108081579208374, 1.1747259533208647,120.0
27,6,21.505624902318335,196.98811316490173,5.115464210510254, 1.1730353978468782,110.0
27,6,25.415372459101427,197.0006377696991,5.11545729637146, 1.17301801056227,130.0
27,6,25.343531674399426,196.97504091262817,5.129923105239868, 1.169702386142625,130.0
28,6,21.66935396527387,204.2227005958557,5.076516628265381, 1.181965427903503,110.0
28,6,21.65938261103068,204.19067931175232,5.0789783000946045, 1.1814216461657328,110.0
28,6,21.65742237991127,204.22161102294922,5.0793235301971436, 1.1813142252566897,110.0
28,6,23.626458626698497,204.2310106754303,5.079263925552368, 1.1813232640538363,120.0
28,6,23.604023648459478,204.23606538772583,5.084227561950684, 1.1802019019457617,120.0
28,6,25.55210420071602,204.23034930229187,5.088104963302612, 1.1793291020400014,130.0
28,6,25.531234491011595,204.23153519630432,5.092320442199707, 1.178365827507875,130.0
28,7,22.494083983873026,204.8913972377777,5.779728174209595, 1.2112206563376453,130.0
29,6,23.994190096983314,211.34116196632385,5.0017383098602295, 1.1997105915125628,120.0
29,6,23.634042613136117,211.41691184043884,5.077795028686523, 1.1817028520108974,120.0
29,6,23.54363131010522,211.4643177986145,5.097458839416504, 1.1771831073276582,120.0
29,6,25.47630252301868,211.48249101638794,5.10319447517395, 1.1758301712955355,130.0
29,7,18.949385429975177,212.174738407135,5.805347919464111, 1.2058706752875092,110.0
29,7,23.735366050538808,212.27766871452332,5.898678779602051, 1.1867686383202931,140.0
29,7,20.331688538910015,212.27208280563354,5.9024763107299805, 1.1860158355045218,120.0
29,7,23.7055170757499,212.27987599372864,5.906238317489624, 1.1852765236863119,140.0
30,6,23.679602184417647,218.70860075950623,5.0680882930755615, 1.1839813346855323,120.0
30,6,21.662431434739318,218.72846126556396,5.078333139419556, 1.1815878349033326,110.0
30,6,23.629138426162182,218.72957968711853,5.078900337219238, 1.181457586897081,120.0
30,6,25.596981125272936,218.68951320648193,5.079149484634399, 1.181399738922258,130.0
30,6,25.57654794633639,218.69364476203918,5.083201169967651, 1.1804568896389862,130.0
30,6,21.63963284424979,218.72157263755798,5.083646535873413, 1.180344384744118,110.0
30,7,20.775279308561245,219.41762852668762,5.776562929153442, 1.2118924435285763,120.0
